,cad_recursive_linear_residue,aud_recursive_linear_residue,gbp_recursive_linear_residue
2013-04-02,0.0021507256586031243,0.0026446953728549074,-0.00824215013344285
2013-04-03,0.0001190202301476694,0.0011096976700240898,0.0020646715423959135
2013-04-04,0.001842187089174448,-0.0022392518044888846,0.0069262943304203555
2013-04-05,-0.004753786412714131,-0.00512971179737764,0.006443613342901756
2013-04-08,0.0010346411939983274,0.0029427919456623246,-0.00538377037786866
2013-04-09,0.00022084739667474503,0.007329683150927973,0.004625770292097379
2013-04-10,0.002149642774582867,0.00519266333456604,0.0005734610848415432
2013-04-11,0.003763066343677294,0.0002473010551454959,0.0034968748408829176
2013-04-12,-0.003119624059340305,-0.0034573223882243143,-0.0028463386226960925
2013-04-15,-0.01180966375812351,-0.018674016770141143,-0.0036253240699913414
2013-04-16,0.0046223204304155704,0.007496189496424109,0.005220220959645737
2013-04-17,-0.005510715564018314,-0.00893359471730192,-0.008205135726756463
2013-04-18,0.0003254832223899414,0.0004460069461627355,0.0030271743402484675
2013-04-19,-0.00029037513505545515,-0.0022749695394000593,-0.003168560884918479
2013-04-22,0.0010436161078306065,-0.00013700854141751075,0.0040399346050912265
2013-04-23,-0.00018757416218021636,-0.0015982516960014233,-0.0033370944243105377
2013-04-24,0.00012012340628856871,0.002102709782928416,0.0019481534590815972
2013-04-25,0.005642728682221095,0.0013215351079328714,0.010887957702524768
2013-04-26,0.0032758809259785145,-0.001498195452640216,0.002226701641904721
2013-04-29,0.005289795800900098,0.007329673873196033,0.0017268871352145963
2013-04-30,0.003852843363398306,0.001987935925204255,0.0020720077093668797
2013-05-01,-0.0008894754969754439,-0.008852850857591922,0.001478634036457388
2013-05-02,-0.0022030989330880883,-0.002962794717131704,-0.0012681161000690014
2013-05-03,0.0025406416212458358,0.006961911258364475,0.002618629879597179
2013-05-06,0.0011256990218219871,-0.006261363052848195,-0.0022658816383894767
2013-05-07,0.0026319346177380975,-0.006694203963519619,-0.0034021145330501985
2013-05-08,0.001221889797423201,-0.001416219899080409,0.00341107634862666
2013-05-09,-0.0038011622841595694,-0.0076415595624368775,-0.005526962619598972
2013-05-10,-0.003108551461875323,-0.006603437866958374,-0.0056554770447539635
2013-05-13,-0.0005886290421812412,-0.007250817476589023,-0.003582630234912553
2013-05-14,-0.007285450318129364,-0.0062928879897496326,-0.005702790855781874
2013-05-15,0.0023562606869436294,0.0009673079610607697,0.0019085709763324247
2013-05-16,-0.0037473957101630505,-0.009076717616618537,0.002373358212839018
2013-05-17,-0.008377253651208047,-0.007926863276721716,-0.006647332327160459
2013-05-20,0.00381418268707763,0.008042102715162125,0.005944310136559586
2013-05-21,-0.002340816698227881,-0.0004522981950463457,-0.0067644040347800164
